common.name,scientific.name,class,genus,family
Outcrop Sabrewing,Campylopterus calcirupicola,Aves,Campylopterus,Trochilidae
Diamantina Sabrewing,Campylopterus diamantinensis,Aves,Campylopterus,Trochilidae
Violet Sabrewing,Campylopterus hemileucurus,Aves,Campylopterus,Trochilidae
Rufous-breasted Sabrewing,Campylopterus hyperythrus,Aves,Campylopterus,Trochilidae
Buff-breasted Sabrewing,Campylopterus duidae,Aves,Campylopterus,Trochilidae
Napo Sabrewing,Campylopterus villaviscensio,Aves,Campylopterus,Trochilidae
Lazuline Sabrewing,Campylopterus falcatus,Aves,Campylopterus,Trochilidae
Santa Marta Sabrewing,Campylopterus phainopeplus,Aves,Campylopterus,Trochilidae
White-tailed Sabrewing,Campylopterus ensipennis,Aves,Campylopterus,Trochilidae
Bronze-tailed Plumeleteer,Chalybura urochrysia,Aves,Chalybura,Trochilidae
White-vented Plumeleteer,Chalybura buffonii,Aves,Chalybura,Trochilidae
Violet-capped Woodnymph,Thalurania glaucopis,Aves,Thalurania,Trochilidae
Long-tailed Woodnymph,Thalurania watertonii,Aves,Thalurania,Trochilidae
Crowned Woodnymph,Thalurania colombica,Aves,Thalurania,Trochilidae
Fork-tailed Woodnymph,Thalurania furcata,Aves,Thalurania,Trochilidae
Snowcap,Microchera albocoronata,Aves,Microchera,Trochilidae
Coppery-headed Emerald,Microchera cupreiceps,Aves,Microchera,Trochilidae
White-tailed Emerald,Microchera chionura,Aves,Microchera,Trochilidae
Violet-capped Hummingbird,Goldmania violiceps,Aves,Goldmania,Trochilidae
Pirre Hummingbird,Goldmania bella,Aves,Goldmania,Trochilidae
Mexican Woodnymph,Eupherusa ridgwayi,Aves,Eupherusa,Trochilidae
White-tailed Hummingbird,Eupherusa poliocerca,Aves,Eupherusa,Trochilidae
Blue-capped Hummingbird,Eupherusa cyanophrys,Aves,Eupherusa,Trochilidae
Stripe-tailed Hummingbird,Eupherusa eximia,Aves,Eupherusa,Trochilidae
Black-bellied Hummingbird,Eupherusa nigriventris,Aves,Eupherusa,Trochilidae
Scaly-breasted Hummingbird,Phaeochroa cuvierii,Aves,Phaeochroa,Trochilidae
Buffy Hummingbird,Leucippus fallax,Aves,Leucippus,Trochilidae
Tumbes Hummingbird,Thaumasius baeri,Aves,Thaumasius,Trochilidae
Spot-throated Hummingbird,Thaumasius taczanowskii,Aves,Thaumasius,Trochilidae
Many-spotted Hummingbird,Taphrospilus hypostictus,Aves,Taphrospilus,Trochilidae
Swallow-tailed Hummingbird,Eupetomena macroura,Aves,Eupetomena,Trochilidae
Sombre Hummingbird,Eupetomena cirrochloris,Aves,Eupetomena,Trochilidae
Olive-spotted Hummingbird,Talaphorus chlorocercus,Aves,Talaphorus,Trochilidae
Red-billed Streamertail,Trochilus polytmus,Aves,Trochilus,Trochilidae
Black-billed Streamertail,Trochilus scitulus,Aves,Trochilus,Trochilidae
Violet-crowned Hummingbird,Ramosomyia violiceps,Aves,Ramosomyia,Trochilidae
Green-fronted Hummingbird,Ramosomyia viridifrons,Aves,Ramosomyia,Trochilidae
Azure-crowned Hummingbird,Saucerottia cyanocephala,Aves,Saucerottia,Trochilidae
Blue-vented Hummingbird,Saucerottia hoffmanni,Aves,Saucerottia,Trochilidae
Berylline Hummingbird,Saucerottia beryllina,Aves,Saucerottia,Trochilidae
Blue-tailed Hummingbird,Saucerottia cyanura,Aves,Saucerottia,Trochilidae
Snowy-bellied Hummingbird,Saucerottia edward,Aves,Saucerottia,Trochilidae
Steely-vented Hummingbird,Saucerottia saucerottei,Aves,Saucerottia,Trochilidae
Indigo-capped Hummingbird,Saucerottia cyanifrons,Aves,Saucerottia,Trochilidae
Chestnut-bellied Hummingbird,Saucerottia castaneiventris,Aves,Saucerottia,Trochilidae
Green-bellied Hummingbird,Saucerottia viridigaster,Aves,Saucerottia,Trochilidae
Copper-tailed Hummingbird,Saucerottia cupreicauda,Aves,Saucerottia,Trochilidae
Copper-rumped Hummingbird,Saucerottia tobaci,Aves,Saucerottia,Trochilidae
Cinnamon Hummingbird,Amazilia rutila,Aves,Amazilia,Trochilidae
Buff-bellied Hummingbird,Amazilia yucatanensis,Aves,Amazilia,Trochilidae
Rufous-tailed Hummingbird,Amazilia tzacatl,Aves,Amazilia,Trochilidae
Honduran Emerald,Amazilia luciae,Aves,Amazilia,Trochilidae
Amazilia Hummingbird,Amazilis amazilia,Aves,Amazilis,Trochilidae
Andean Emerald,Uranomitra franciae,Aves,Uranomitra,Trochilidae
Versicolored Emerald,Chrysuronia versicolor,Aves,Chrysuronia,Trochilidae
Shining-green Hummingbird,Chrysuronia goudoti,Aves,Chrysuronia,Trochilidae
Golden-tailed Sapphire,Chrysuronia oenone,Aves,Chrysuronia,Trochilidae
Mangrove Hummingbird,Chrysuronia boucardi,Aves,Chrysuronia,Trochilidae
Sapphire-throated Hummingbird,Chrysuronia coeruleogularis,Aves,Chrysuronia,Trochilidae
Sapphire-bellied Hummingbird,Chrysuronia lilliae,Aves,Chrysuronia,Trochilidae
Humboldt's Sapphire,Chrysuronia humboldtii,Aves,Chrysuronia,Trochilidae
Blue-headed Sapphire,Chrysuronia grayi,Aves,Chrysuronia,Trochilidae
White-chested Emerald,Chrysuronia brevirostris,Aves,Chrysuronia,Trochilidae
Plain-bellied Emerald,Chrysuronia leucogaster,Aves,Chrysuronia,Trochilidae
White-throated Hummingbird,Leucochloris albicollis,Aves,Leucochloris,Trochilidae
Glittering-throated Emerald,Chionomesa fimbriata,Aves,Chionomesa,Trochilidae
Sapphire-spangled Emerald,Chionomesa lactea,Aves,Chionomesa,Trochilidae
Rufous-throated Sapphire,Hylocharis sapphirina,Aves,Hylocharis,Trochilidae
Gilded Hummingbird,Hylocharis chrysura,Aves,Hylocharis,Trochilidae
White-bellied Hummingbird,Elliotomyia chionogaster,Aves,Elliotomyia,Trochilidae
Green-and-white Hummingbird,Elliotomyia viridicauda,Aves,Elliotomyia,Trochilidae
Purple-chested Hummingbird,Polyerata rosenbergi,Aves,Polyerata,Trochilidae
Blue-chested Hummingbird,Polyerata amabilis,Aves,Polyerata,Trochilidae
Charming Hummingbird,Polyerata decora,Aves,Polyerata,Trochilidae
White-bellied Emerald,Chlorestes candida,Aves,Chlorestes,Trochilidae
Blue-throated Goldentail,Chlorestes eliciae,Aves,Chlorestes,Trochilidae
White-chinned Sapphire,Chlorestes cyanus,Aves,Chlorestes,Trochilidae
Violet-bellied Hummingbird,Chlorestes julie,Aves,Chlorestes,Trochilidae
Blue-chinned Sapphire,Chlorestes notata,Aves,Chlorestes,Trochilidae
Madagascar Forest Rail,Mentocrex kioloides,Aves,Mentocrex,Sarothruridae
Tsingy Forest Rail,Mentocrex beankaensis,Aves,Mentocrex,Sarothruridae
White-spotted Flufftail,Sarothrura pulchra,Aves,Sarothrura,Sarothruridae
Buff-spotted Flufftail,Sarothrura elegans,Aves,Sarothrura,Sarothruridae
Red-chested Flufftail,Sarothrura rufa,Aves,Sarothrura,Sarothruridae
Chestnut-headed Flufftail,Sarothrura lugens,Aves,Sarothrura,Sarothruridae
Streaky-breasted Flufftail,Sarothrura boehmi,Aves,Sarothrura,Sarothruridae
Striped Flufftail,Sarothrura affinis,Aves,Sarothrura,Sarothruridae
Madagascar Flufftail,Sarothrura insularis,Aves,Sarothrura,Sarothruridae
White-winged Flufftail,Sarothrura ayresi,Aves,Sarothrura,Sarothruridae
Slender-billed Flufftail,Sarothrura watersi,Aves,Sarothrura,Sarothruridae
Chestnut Forest Rail,Rallicula rubra,Aves,Rallicula,Sarothruridae
White-striped Forest Rail,Rallicula leucospila,Aves,Rallicula,Sarothruridae
Forbes's Forest Rail,Rallicula forbesi,Aves,Rallicula,Sarothruridae
Mayr's Forest Rail,Rallicula mayri,Aves,Rallicula,Sarothruridae
Ridgway's Rail,Rallus obsoletus,Aves,Rallus,Rallidae
Aztec Rail,Rallus tenuirostris,Aves,Rallus,Rallidae
Mangrove Rail,Rallus longirostris,Aves,Rallus,Rallidae
King Rail,Rallus elegans,Aves,Rallus,Rallidae
Clapper Rail,Rallus crepitans,Aves,Rallus,Rallidae
Plain-flanked Rail,Rallus wetmorei,Aves,Rallus,Rallidae
Virginia Rail,Rallus limicola,Aves,Rallus,Rallidae
Ecuadorian Rail,Rallus aequatorialis,Aves,Rallus,Rallidae
Bogota Rail,Rallus semiplumbeus,Aves,Rallus,Rallidae
Austral Rail,Rallus antarcticus,Aves,Rallus,Rallidae
Water Rail,Rallus aquaticus,Aves,Rallus,Rallidae
Brown-cheeked Rail,Rallus indicus,Aves,Rallus,Rallidae
African Rail,Rallus caerulescens,Aves,Rallus,Rallidae
Madagascar Rail,Rallus madagascariensis,Aves,Rallus,Rallidae
White-throated Rail,Dryolimnas cuvieri,Aves,Dryolimnas,Rallidae
Reunion Rail,Dryolimnas augusti,Aves,Dryolimnas,Rallidae
Red Rail,Aphanapteryx bonasia,Aves,Aphanapteryx,Rallidae
Rodrigues Rail,Erythromachus leguati,Aves,Erythromachus,Rallidae
Corn Crake,Crex crex,Aves,Crex,Rallidae
African Crake,Crecopsis egregia,Aves,Crecopsis,Rallidae
Rouget's Rail,Rougetius rougetii,Aves,Rougetius,Rallidae
St. Helena Rail,Aphanocrex podarces,Aves,Aphanocrex,Rallidae
Ascension Crake,Mundia elpenor,Aves,Mundia,Rallidae
Snoring Rail,Aramidopsis plateni,Aves,Aramidopsis,Rallidae
Slaty-breasted Rail,Lewinia striata,Aves,Lewinia,Rallidae
Luzon Rail,Lewinia mirifica,Aves,Lewinia,Rallidae
Lewin's Rail,Lewinia pectoralis,Aves,Lewinia,Rallidae
Auckland Islands Rail,Lewinia muelleri,Aves,Lewinia,Rallidae
Blue-faced Rail,Gymnocrex rosenbergii,Aves,Gymnocrex,Rallidae
Bare-eyed Rail,Gymnocrex plumbeiventris,Aves,Gymnocrex,Rallidae
Talaud Rail,Gymnocrex talaudensis,Aves,Gymnocrex,Rallidae
Hawkins's Rail,Diaphorapteryx hawkinsi,Aves,Diaphorapteryx,Rallidae
Calayan Rail,Gallirallus calayanensis,Aves,Gallirallus,Rallidae
Invisible Rail,Gallirallus wallacii,Aves,Gallirallus,Rallidae
Chestnut Rail,Gallirallus castaneoventris,Aves,Gallirallus,Rallidae
Weka,Gallirallus australis,Aves,Gallirallus,Rallidae
New Caledonian Rail,Gallirallus lafresnayanus,Aves,Gallirallus,Rallidae
Lord Howe Rail,Gallirallus sylvestris,Aves,Gallirallus,Rallidae
Okinawa Rail,Gallirallus okinawae,Aves,Gallirallus,Rallidae
Tahiti Rail,Gallirallus pacificus,Aves,Gallirallus,Rallidae
Buff-banded Rail,Gallirallus philippensis,Aves,Gallirallus,Rallidae
Chatham Islands Rail,Gallirallus modestus,Aves,Gallirallus,Rallidae
Dieffenbach's Rail,Gallirallus dieffenbachii,Aves,Gallirallus,Rallidae
New Britain Rail,Gallirallus insignis,Aves,Gallirallus,Rallidae
Woodford's Rail,Gallirallus woodfordi,Aves,Gallirallus,Rallidae
Bar-winged Rail,Gallirallus poecilopterus,Aves,Gallirallus,Rallidae
Guam Rail,Gallirallus owstoni,Aves,Gallirallus,Rallidae
Wake Island Rail,Gallirallus wakensis,Aves,Gallirallus,Rallidae
Barred Rail,Gallirallus torquatus,Aves,Gallirallus,Rallidae
Roviana Rail,Gallirallus rovianae,Aves,Gallirallus,Rallidae
Grey-throated Rail,Canirallus oculeus,Aves,Canirallus,Rallidae
Spotted Rail,Pardirallus maculatus,Aves,Pardirallus,Rallidae
Blackish Rail,Pardirallus nigricans,Aves,Pardirallus,Rallidae
Plumbeous Rail,Pardirallus sanguinolentus,Aves,Pardirallus,Rallidae
Ash-throated Crake,Mustelirallus albicollis,Aves,Mustelirallus,Rallidae
Zapata Rail,Mustelirallus cerverai,Aves,Mustelirallus,Rallidae
Colombian Crake,Mustelirallus colombianus,Aves,Mustelirallus,Rallidae
Paint-billed Crake,Mustelirallus erythrops,Aves,Mustelirallus,Rallidae
Uniform Crake,Amaurolimnas concolor,Aves,Amaurolimnas,Rallidae
Giant Wood-Rail,Aramides ypecaha,Aves,Aramides,Rallidae
Brown Wood-Rail,Aramides wolfi,Aves,Aramides,Rallidae
Little Wood-Rail,Aramides mangle,Aves,Aramides,Rallidae
Rufous-necked Wood-Rail,Aramides axillaris,Aves,Aramides,Rallidae
Russet-naped Wood-Rail,Aramides albiventris,Aves,Aramides,Rallidae
Grey-cowled Wood-Rail,Aramides cajaneus,Aves,Aramides,Rallidae
Red-winged Wood-Rail,Aramides calopterus,Aves,Aramides,Rallidae
Slaty-breasted Wood-Rail,Aramides saracura,Aves,Aramides,Rallidae
Black-tailed Nativehen,Tribonyx ventralis,Aves,Tribonyx,Rallidae
Hodgen's Waterhen,Tribonyx hodgenorum,Aves,Tribonyx,Rallidae
Tasmanian Nativehen,Tribonyx mortierii,Aves,Tribonyx,Rallidae
Spot-flanked Gallinule,Porphyriops melanops,Aves,Porphyriops,Rallidae
Sora,Porzana carolina,Aves,Porzana,Rallidae
Spotted Crake,Porzana porzana,Aves,Porzana,Rallidae
Australian Crake,Porzana fluminea,Aves,Porzana,Rallidae
Lesser Moorhen,Paragallinula angulata,Aves,Paragallinula,Rallidae
Makira Moorhen,Gallinula silvestris,Aves,Gallinula,Rallidae
Tristan Moorhen,Gallinula nesiotis,Aves,Gallinula,Rallidae
Gough Moorhen,Gallinula comeri,Aves,Gallinula,Rallidae
Eurasian Moorhen,Gallinula chloropus,Aves,Gallinula,Rallidae
Common Gallinule,Gallinula galeata,Aves,Gallinula,Rallidae
Dusky Moorhen,Gallinula tenebrosa,Aves,Gallinula,Rallidae
Samoan Moorhen,Gallinula pacifica,Aves,Gallinula,Rallidae
Red-fronted Coot,Fulica rufifrons,Aves,Fulica,Rallidae
Horned Coot,Fulica cornuta,Aves,Fulica,Rallidae
Giant Coot,Fulica gigantea,Aves,Fulica,Rallidae
Red-gartered Coot,Fulica armillata,Aves,Fulica,Rallidae
Eurasian Coot,Fulica atra,Aves,Fulica,Rallidae
Mascarene Coot,Fulica newtonii,Aves,Fulica,Rallidae
Red-knobbed Coot,Fulica cristata,Aves,Fulica,Rallidae
Hawaiian Coot,Fulica alai,Aves,Fulica,Rallidae
American Coot,Fulica americana,Aves,Fulica,Rallidae
Slate-colored Coot,Fulica ardesiaca,Aves,Fulica,Rallidae
White-winged Coot,Fulica leucoptera,Aves,Fulica,Rallidae
Allen's Gallinule,Porphyrio alleni,Aves,Porphyrio,Rallidae
Purple Gallinule,Porphyrio martinica,Aves,Porphyrio,Rallidae
Azure Gallinule,Porphyrio flavirostris,Aves,Porphyrio,Rallidae
Marquesan Swamphen,Porphyrio paepae,Aves,Porphyrio,Rallidae
New Caledonian Gallinule,Porphyrio kukwiedei,Aves,Porphyrio,Rallidae
Reunion Gallinule,Porphyrio caerulescens,Aves,Porphyrio,Rallidae
Western Swamphen,Porphyrio porphyrio,Aves,Porphyrio,Rallidae
Black-backed Swamphen,Porphyrio indicus,Aves,Porphyrio,Rallidae
African Swamphen,Porphyrio madagascariensis,Aves,Porphyrio,Rallidae
South Island Takahe,Porphyrio hochstetteri,Aves,Porphyrio,Rallidae
North Island Takahe,Porphyrio mantelli,Aves,Porphyrio,Rallidae
Australasian Swamphen,Porphyrio melanotus,Aves,Porphyrio,Rallidae
Philippine Swamphen,Porphyrio pulverulentus,Aves,Porphyrio,Rallidae
Lord Howe Swamphen,Porphyrio albus,Aves,Porphyrio,Rallidae
Grey-headed Swamphen,Porphyrio poliocephalus,Aves,Porphyrio,Rallidae
Nkulengu Rail,Himantornis haematopus,Aves,Himantornis,Rallidae
White-browed Crake,Poliolimnas cinereus,Aves,Poliolimnas,Rallidae
New Guinea Flightless Rail,Megacrex inepta,Aves,Megacrex,Rallidae
Watercock,Gallicrex cinerea,Aves,Gallicrex,Rallidae
Isabelline Bush-hen,Amaurornis isabellina,Aves,Amaurornis,Rallidae
Plain Bush-hen,Amaurornis olivacea,Aves,Amaurornis,Rallidae
White-breasted Waterhen,Amaurornis phoenicurus,Aves,Amaurornis,Rallidae
Talaud Bush-hen,Amaurornis magnirostris,Aves,Amaurornis,Rallidae
Pale-vented Bush-hen,Amaurornis moluccana,Aves,Amaurornis,Rallidae
Striped Crake,Aenigmatolimnas marginalis,Aves,Aenigmatolimnas,Rallidae
Red-necked Crake,Rallina tricolor,Aves,Rallina,Rallidae
Andaman Crake,Rallina canningi,Aves,Rallina,Rallidae
Red-legged Crake,Rallina fasciata,Aves,Rallina,Rallidae
Slaty-legged Crake,Rallina eurizonoides,Aves,Rallina,Rallidae
Ruddy-breasted Crake,Zapornia fusca,Aves,Zapornia,Rallidae
Band-bellied Crake,Zapornia paykullii,Aves,Zapornia,Rallidae
Brown Crake,Zapornia akool,Aves,Zapornia,Rallidae
Black Crake,Zapornia flavirostra,Aves,Zapornia,Rallidae
Little Crake,Zapornia parva,Aves,Zapornia,Rallidae
Baillon's Crake,Zapornia pusilla,Aves,Zapornia,Rallidae
St. Helena Crake,Zapornia astrictocarpus,Aves,Zapornia,Rallidae
Laysan Rail,Zapornia palmeri,Aves,Zapornia,Rallidae
Sakalava Rail,Zapornia olivieri,Aves,Zapornia,Rallidae
Black-tailed Crake,Zapornia bicolor,Aves,Zapornia,Rallidae
Hawaiian Rail,Zapornia sandwichensis,Aves,Zapornia,Rallidae
Miller's Rail,Zapornia nigra,Aves,Zapornia,Rallidae
Henderson Island Crake,Zapornia atra,Aves,Zapornia,Rallidae
Spotless Crake,Zapornia tabuensis,Aves,Zapornia,Rallidae
Kosrae Crake,Zapornia monasa,Aves,Zapornia,Rallidae
Ocellated Crake,Rufirallus schomburgkii,Aves,Rufirallus,Rallidae
Russet-crowned Crake,Rufirallus viridis,Aves,Rufirallus,Rallidae
Black-banded Crake,Rufirallus fasciatus,Aves,Rufirallus,Rallidae
Red-and-white Crake,Rufirallus leucopyrrhus,Aves,Rufirallus,Rallidae
Rufous-faced Crake,Rufirallus xenopterus,Aves,Rufirallus,Rallidae
Chestnut-headed Crake,Anurolimnas castaneiceps,Aves,Anurolimnas,Rallidae
Swinhoe's Rail,Coturnicops exquisitus,Aves,Coturnicops,Rallidae
Yellow Rail,Coturnicops noveboracensis,Aves,Coturnicops,Rallidae
Inaccessible Island Rail,Laterallus rogersi,Aves,Laterallus,Rallidae
Speckled Rail,Laterallus notatus,Aves,Laterallus,Rallidae
Yellow-breasted Crake,Laterallus flaviventer,Aves,Laterallus,Rallidae
Rusty-flanked Crake,Laterallus levraudi,Aves,Laterallus,Rallidae
Rufous-sided Crake,Laterallus melanophaius,Aves,Laterallus,Rallidae
Ruddy Crake,Laterallus ruber,Aves,Laterallus,Rallidae
White-throated Crake,Laterallus albigularis,Aves,Laterallus,Rallidae
Grey-breasted Crake,Laterallus exilis,Aves,Laterallus,Rallidae
Galapagos Rail,Laterallus spilonota,Aves,Laterallus,Rallidae
Black Rail,Laterallus jamaicensis,Aves,Laterallus,Rallidae
Dot-winged Crake,Laterallus spilopterus,Aves,Laterallus,Rallidae
African Finfoot,Podica senegalensis,Aves,Podica,Heliornithidae
Masked Finfoot,Heliopais personatus,Aves,Heliopais,Heliornithidae
Sungrebe,Heliornis fulica,Aves,Heliornis,Heliornithidae
Limpkin,Aramus guarauna,Aves,Aramus,Aramidae
Grey-winged Trumpeter,Psophia crepitans,Aves,Psophia,Psophiidae
Pale-winged Trumpeter,Psophia leucoptera,Aves,Psophia,Psophiidae
Dark-winged Trumpeter,Psophia viridis,Aves,Psophia,Psophiidae
Grey Crowned-Crane,Balearica regulorum,Aves,Balearica,Gruidae
Black Crowned-Crane,Balearica pavonina,Aves,Balearica,Gruidae
Demoiselle Crane,Anthropoides virgo,Aves,Anthropoides,Gruidae
Blue Crane,Anthropoides paradiseus,Aves,Anthropoides,Gruidae
Wattled Crane,Bugeranus carunculatus,Aves,Bugeranus,Gruidae
Siberian Crane,Leucogeranus leucogeranus,Aves,Leucogeranus,Gruidae
Sandhill Crane,Antigone canadensis,Aves,Antigone,Gruidae
Sarus Crane,Antigone antigone,Aves,Antigone,Gruidae
Brolga,Antigone rubicunda,Aves,Antigone,Gruidae
White-naped Crane,Antigone vipio,Aves,Antigone,Gruidae
Common Crane,Grus grus,Aves,Grus,Gruidae
Hooded Crane,Grus monacha,Aves,Grus,Gruidae
Whooping Crane,Grus americana,Aves,Grus,Gruidae
Black-necked Crane,Grus nigricollis,Aves,Grus,Gruidae
Red-crowned Crane,Grus japonensis,Aves,Grus,Gruidae
Magellanic Plover,Pluvianellus socialis,Aves,Pluvianellus,Pluvianellidae
Black-faced Sheathbill,Chionis minor,Aves,Chionis,Chionidae
Snowy Sheathbill,Chionis albus,Aves,Chionis,Chionidae
Double-striped Thick-knee,Hesperoburhinus bistriatus,Aves,Hesperoburhinus,Burhinidae
Peruvian Thick-knee,Hesperoburhinus superciliaris,Aves,Hesperoburhinus,Burhinidae
Great Thick-knee,Esacus recurvirostris,Aves,Esacus,Burhinidae
Beach Stone-curlew,Esacus magnirostris,Aves,Esacus,Burhinidae
Spotted Thick-knee,Burhinus capensis,Aves,Burhinus,Burhinidae
Water Thick-knee,Burhinus vermiculatus,Aves,Burhinus,Burhinidae
Bush Stone-curlew,Burhinus grallarius,Aves,Burhinus,Burhinidae
Eurasian Thick-knee,Burhinus oedicnemus,Aves,Burhinus,Burhinidae
Indian Thick-knee,Burhinus indicus,Aves,Burhinus,Burhinidae
Senegal Thick-knee,Burhinus senegalensis,Aves,Burhinus,Burhinidae
Egyptian Plover,Pluvianus aegyptius,Aves,Pluvianus,Pluvianidae
Black-winged Stilt,Himantopus himantopus,Aves,Himantopus,Recurvirostridae
Pied Stilt,Himantopus leucocephalus,Aves,Himantopus,Recurvirostridae
Black Stilt,Himantopus novaezelandiae,Aves,Himantopus,Recurvirostridae
Black-necked Stilt,Himantopus mexicanus,Aves,Himantopus,Recurvirostridae
Banded Stilt,Cladorhynchus leucocephalus,Aves,Cladorhynchus,Recurvirostridae
Pied Avocet,Recurvirostra avosetta,Aves,Recurvirostra,Recurvirostridae
Red-necked Avocet,Recurvirostra novaehollandiae,Aves,Recurvirostra,Recurvirostridae
Andean Avocet,Recurvirostra andina,Aves,Recurvirostra,Recurvirostridae
American Avocet,Recurvirostra americana,Aves,Recurvirostra,Recurvirostridae
Ibisbill,Ibidorhyncha struthersii,Aves,Ibidorhyncha,Ibidorhynchidae
Eurasian Oystercatcher,Haematopus ostralegus,Aves,Haematopus,Haematopodidae
Pied Oystercatcher,Haematopus longirostris,Aves,Haematopus,Haematopodidae
South Island Oystercatcher,Haematopus finschi,Aves,Haematopus,Haematopodidae
Chatham Islands Oystercatcher,Haematopus chathamensis,Aves,Haematopus,Haematopodidae
Variable Oystercatcher,Haematopus unicolor,Aves,Haematopus,Haematopodidae
Sooty Oystercatcher,Haematopus fuliginosus,Aves,Haematopus,Haematopodidae
American Oystercatcher,Haematopus palliatus,Aves,Haematopus,Haematopodidae
African Oystercatcher,Haematopus moquini,Aves,Haematopus,Haematopodidae
Canarian Oystercatcher,Haematopus meadewaldoi,Aves,Haematopus,Haematopodidae
Blackish Oystercatcher,Haematopus ater,Aves,Haematopus,Haematopodidae
Magellanic Oystercatcher,Haematopus leucopodus,Aves,Haematopus,Haematopodidae
Black Oystercatcher,Haematopus bachmani,Aves,Haematopus,Haematopodidae
Black-bellied Plover,Pluvialis squatarola,Aves,Pluvialis,Charadriidae
European Golden-Plover,Pluvialis apricaria,Aves,Pluvialis,Charadriidae
American Golden-Plover,Pluvialis dominica,Aves,Pluvialis,Charadriidae
Pacific Golden-Plover,Pluvialis fulva,Aves,Pluvialis,Charadriidae
Tawny-throated Dotterel,Oreopholus ruficollis,Aves,Oreopholus,Charadriidae
Pied Plover,Hoploxypterus cayanus,Aves,Hoploxypterus,Charadriidae
Diademed Sandpiper-Plover,Phegornis mitchellii,Aves,Phegornis,Charadriidae
Rufous-chested Dotterel,Zonibyx modestus,Aves,Zonibyx,Charadriidae
Eurasian Dotterel,Eudromias morinellus,Aves,Eudromias,Charadriidae
Killdeer,Charadrius vociferus,Aves,Charadrius,Charadriidae
Common Ringed Plover,Charadrius hiaticula,Aves,Charadrius,Charadriidae
Semipalmated Plover,Charadrius semipalmatus,Aves,Charadrius,Charadriidae
Piping Plover,Charadrius melodus,Aves,Charadrius,Charadriidae
Hooded Plover,Thinornis cucullatus,Aves,Thinornis,Charadriidae
Black-fronted Dotterel,Thinornis melanops,Aves,Thinornis,Charadriidae
Shore Plover,Thinornis novaeseelandiae,Aves,Thinornis,Charadriidae
Forbes's Plover,Thinornis forbesi,Aves,Thinornis,Charadriidae
Three-banded Plover,Thinornis tricollaris,Aves,Thinornis,Charadriidae
Little Ringed Plover,Thinornis dubius,Aves,Thinornis,Charadriidae
Long-billed Plover,Thinornis placidus,Aves,Thinornis,Charadriidae
Northern Lapwing,Vanellus vanellus,Aves,Vanellus,Charadriidae
Long-toed Lapwing,Vanellus crassirostris,Aves,Vanellus,Charadriidae
Blacksmith Lapwing,Vanellus armatus,Aves,Vanellus,Charadriidae
Spur-winged Lapwing,Vanellus spinosus,Aves,Vanellus,Charadriidae
River Lapwing,Vanellus duvaucelii,Aves,Vanellus,Charadriidae
Yellow-wattled Lapwing,Vanellus malabaricus,Aves,Vanellus,Charadriidae
Black-headed Lapwing,Vanellus tectus,Aves,Vanellus,Charadriidae
White-crowned Lapwing,Vanellus albiceps,Aves,Vanellus,Charadriidae
Senegal Lapwing,Vanellus lugubris,Aves,Vanellus,Charadriidae
Black-winged Lapwing,Vanellus melanopterus,Aves,Vanellus,Charadriidae
Crowned Lapwing,Vanellus coronatus,Aves,Vanellus,Charadriidae
Wattled Lapwing,Vanellus senegallus,Aves,Vanellus,Charadriidae
Spot-breasted Lapwing,Vanellus melanocephalus,Aves,Vanellus,Charadriidae
Brown-chested Lapwing,Vanellus superciliosus,Aves,Vanellus,Charadriidae
Grey-headed Lapwing,Vanellus cinereus,Aves,Vanellus,Charadriidae
Red-wattled Lapwing,Vanellus indicus,Aves,Vanellus,Charadriidae
Javan Lapwing,Vanellus macropterus,Aves,Vanellus,Charadriidae
Banded Lapwing,Vanellus tricolor,Aves,Vanellus,Charadriidae
Masked Lapwing,Vanellus miles,Aves,Vanellus,Charadriidae
Sociable Lapwing,Vanellus gregarius,Aves,Vanellus,Charadriidae
White-tailed Lapwing,Vanellus leucurus,Aves,Vanellus,Charadriidae
Southern Lapwing,Vanellus chilensis,Aves,Vanellus,Charadriidae
Andean Lapwing,Vanellus resplendens,Aves,Vanellus,Charadriidae
Red-kneed Dotterel,Erythrogonys cinctus,Aves,Erythrogonys,Charadriidae
Inland Dotterel,Peltohyas australis,Aves,Peltohyas,Charadriidae
Caspian Plover,Anarhynchus asiaticus,Aves,Anarhynchus,Charadriidae
Oriental Plover,Anarhynchus veredus,Aves,Anarhynchus,Charadriidae
Siberian Sand-Plover,Anarhynchus mongolus,Aves,Anarhynchus,Charadriidae
Tibetan Sand-Plover,Anarhynchus atrifrons,Aves,Anarhynchus,Charadriidae
Greater Sand-Plover,Anarhynchus leschenaultii,Aves,Anarhynchus,Charadriidae
Double-banded Plover,Anarhynchus bicinctus,Aves,Anarhynchus,Charadriidae
Wrybill,Anarhynchus frontalis,Aves,Anarhynchus,Charadriidae
Red-breasted Dotterel,Anarhynchus obscurus,Aves,Anarhynchus,Charadriidae
Wilson's Plover,Anarhynchus wilsonia,Aves,Anarhynchus,Charadriidae
Collared Plover,Anarhynchus collaris,Aves,Anarhynchus,Charadriidae
Mountain Plover,Anarhynchus montanus,Aves,Anarhynchus,Charadriidae
Puna Plover,Anarhynchus alticola,Aves,Anarhynchus,Charadriidae
Two-banded Plover,Anarhynchus falklandicus,Aves,Anarhynchus,Charadriidae
